company,product,typename,gpu,opsys,inches,width,height,clock_speed,ram,disk_size,weight,ubm_effective_speed,price_euros
Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,Notebook,Nvidia GeForce 920MX,Windows 10,17.3,1920,1080,2.0,4,1000,2.0,5.76,564.0
Asus,VivoBook S15,Notebook,Nvidia GeForce 940MX,Windows 10,15.6,1920,1080,1.8,8,256,1.7,8.62,1118.0
Acer,Spin 3,Notebook,Intel HD Graphics 620,Windows 10,15.6,1920,1080,2.4,6,1000,2.1,4.54,479.0
MSI,GS63VR 7RG,Gaming,Nvidia GeForce GTX 1070,Windows 10,15.6,1920,1080,2.8,16,2256,1.8,79.7,2241.5
Lenovo,IdeaPad 320-15IKBN,Notebook,Nvidia GeForce 940MX,No OS,15.6,1920,1080,2.5,8,256,2.2,8.62,629.0
HP,Probook 470,Notebook,Nvidia GeForce 930MX,Windows 10,17.3,1920,1080,1.8,16,512,2.5,7.91,1271.0
Acer,Aspire 3,Notebook,AMD Radeon R5,Windows 10,15.6,1366,768,3.0,4,256,2.1,2.05,451.0
HP,250 G6,Notebook,Intel HD Graphics 400,No OS,15.6,1366,768,1.6,4,500,1.86,3.18,259.0
HP,Probook 440,Notebook,Intel UHD Graphics 620,Windows 10,14.0,1920,1080,1.6,8,1000,1.63,4.8,812.0
Dell,Inspiron 5770,Notebook,AMD Radeon 530,Windows 10,17.3,1920,1080,1.8,16,2256,2.8,6.64,1396.0
HP,ProBook 470,Notebook,Intel UHD Graphics 620,Windows 10,17.3,1920,1080,1.6,8,256,2.5,4.8,928.0
Dell,Inspiron 5567,Notebook,AMD Radeon R7 M445,Windows 10,15.6,1366,768,2.5,8,1000,2.36,21.2,638.99
Acer,Swift 3,Ultrabook,Intel UHD Graphics 620,Windows 10,14.0,1920,1080,1.8,8,256,1.6,4.8,884.0
Acer,Aspire A515-51G-37JS,Notebook,Nvidia GeForce MX130,Windows 10,15.6,1920,1080,2.7,4,256,2.2,8.96,572.0
HP,15-BS078nr (i7-7500U/8GB/1TB/W10),Notebook,Intel HD Graphics 620,Windows 10,15.6,1366,768,2.7,8,1000,2.05,4.54,598.0
HP,Probook 440,Notebook,Intel UHD Graphics 620,Windows 10,14.0,1920,1080,1.8,8,256,1.63,4.8,988.0
Lenovo,V110-15IAP (N3350/4GB/1TB/No,Notebook,Intel HD Graphics 500,No OS,15.6,1366,768,1.1,4,1000,1.9,3.44,252.36
Asus,FX753VD-GC086T (i5-7300HQ/8GB/1TB,Gaming,Nvidia GeForce GTX 1050,Windows 10,17.3,1920,1080,2.5,8,1128,3.0,25.7,938.0
Lenovo,IdeaPad 320-15IKBN,Notebook,Nvidia GeForce 920MX,No OS,15.6,1920,1080,2.5,4,1000,2.2,5.76,499.0
HP,Envy 13-AD007nv,Notebook,Intel HD Graphics 620,Windows 10,13.3,1920,1080,2.5,4,256,1.32,4.54,699.0
Acer,Aspire 5,Notebook,Nvidia GeForce MX130,Windows 10,17.3,1920,1080,2.7,4,1000,3.0,8.96,655.0
Lenovo,ThinkPad E480,Notebook,AMD Radeon RX 550,Windows 10,14.0,1920,1080,1.6,8,256,1.75,14.1,1116.02
Lenovo,Legion Y520-15IKBN,Gaming,Nvidia GeForce GTX 1050M,No OS,15.6,1920,1080,2.8,8,256,2.4,23.0,869.0
Toshiba,Satellite Pro,Notebook,Intel HD Graphics 520,Windows 10,15.6,1366,768,2.3,4,500,2.1,4.2,602.0
HP,255 G6,Notebook,AMD Radeon R4 Graphics,Windows 10,15.6,1366,768,2.5,4,256,1.86,2.31,369.0
Asus,ZenBook UX430UA,Ultrabook,Intel UHD Graphics 620,Windows 10,14.0,1920,1080,1.8,8,256,1.25,4.8,1099.0
HP,EliteBook Folio,Ultrabook,Intel HD Graphics 515,Windows 10,12.5,3840,2160,1.2,8,512,0.97,2.92,2014.0
Asus,X541NA (N3350/4GB/1TB/FHD/W10),Notebook,Intel HD Graphics 500,Windows 10,15.6,1920,1080,1.1,4,1000,2.0,3.44,344.0
MSI,GE72MVR 7RG,Gaming,Nvidia GeForce GTX 1070,Windows 10,17.3,1920,1080,2.8,16,1256,2.9,79.7,2029.0
Acer,Aspire A315-51,Notebook,Intel HD Graphics 520,Windows 10,15.6,1366,768,2.0,4,1000,2.1,4.2,447.0
Dell,Inspiron 5577,Gaming,Nvidia GeForce GTX 1050,Windows 10,15.6,1920,1080,2.8,16,512,2.56,25.7,1249.26
Dell,Inspiron 7567,Gaming,Nvidia GeForce GTX 1050,Windows 10,15.6,1920,1080,2.8,8,0,2.62,25.7,899.0
Lenovo,V110-15IKB (i5-7200U/4GB/128GB/W10),Notebook,Intel HD Graphics 620,Windows 10,15.6,1366,768,2.5,4,128,1.9,4.54,498.0
MSI,GE73VR 7RE,Gaming,Nvidia GeForce GTX 1060,Windows 10,17.3,1920,1080,2.8,16,1256,2.8,46.7,1890.0
HP,EliteBook 840,Ultrabook,Intel HD Graphics 620,Windows 10,14.0,1920,1080,2.7,4,256,1.48,4.54,1082.0
HP,15-BS103nv (i5-8250U/6GB/256GB/Radeon,Notebook,AMD Radeon 520,Windows 10,15.6,1920,1080,1.6,6,256,1.91,4.96,619.0
Lenovo,Yoga 520-14IKB,2 in 1 Convertible,Intel HD Graphics 620,Windows 10,14.0,1920,1080,2.4,4,256,1.74,4.54,629.0
Asus,ZenBook Flip,2 in 1 Convertible,Intel HD Graphics 620,Windows 10,13.3,1920,1080,1.6,8,256,1.1,4.54,1315.0
Dell,Inspiron 5579,2 in 1 Convertible,Intel UHD Graphics 620,Windows 10,15.6,1920,1080,1.8,8,256,1.56,4.8,1049.0
Toshiba,Satellite Pro,Notebook,Intel HD Graphics 520,Windows 10,15.6,1366,768,2.2,4,500,2.1,4.2,447.0
Acer,Aspire A517-51G,Notebook,Nvidia GeForce MX150,Windows 10,17.3,1920,1080,1.6,4,256,3.0,13.7,805.0
Dell,Inspiron 3576,Notebook,AMD Radeon 520,Windows 10,15.6,1920,1080,1.6,8,256,2.13,4.96,728.0
Lenovo,Legion Y520-15IKBN,Gaming,Nvidia GeForce GTX 1050 Ti,Windows 10,15.6,1920,1080,2.8,16,256,2.5,29.3,1079.0
Acer,Aspire A315-31,Notebook,Intel HD Graphics 500,Windows 10,15.6,1366,768,1.1,4,1000,2.1,3.44,348.0
MSI,GE63VR 7RE,Gaming,Nvidia GeForce GTX 1060,Windows 10,15.6,1920,1080,2.8,16,1256,2.4,46.7,1799.0
Dell,Inspiron 5577,Gaming,Nvidia GeForce GTX 1050,Windows 10,15.6,1920,1080,2.8,8,1128,2.56,25.7,1060.49
Acer,Aspire A517-51G,Notebook,Nvidia GeForce MX150,Windows 10,17.3,1920,1080,1.6,8,256,3.0,13.7,854.0
HP,ProBook 430,Notebook,Intel UHD Graphics 620,Windows 10,13.3,1920,1080,1.6,4,500,1.49,4.8,754.0
Huawei,MateBook X,Ultrabook,Intel HD Graphics 620,Windows 10,13.0,2160,1440,2.5,8,256,1.05,4.54,1349.0
HP,17-bs001nv (i5-7200U/6GB/2TB/Radeon,Notebook,AMD Radeon 520,Windows 10,17.3,1920,1080,2.5,6,2000,2.71,4.96,699.0
Lenovo,IdeaPad 320-15AST,Notebook,AMD Radeon R4 Graphics,No OS,15.6,1366,768,2.9,4,500,2.2,2.31,309.0
Toshiba,Satellite Pro,Notebook,Intel HD Graphics 620,Windows 10,15.6,1366,768,2.4,4,500,2.0,4.54,489.0
HP,ProBook 470,Notebook,Nvidia GeForce 930MX,Windows 10,17.3,1920,1080,1.6,8,256,2.5,7.91,923.0
Dell,Inspiron 3567,Notebook,Intel HD Graphics 620,Windows 10,15.6,1366,768,2.4,8,1000,2.3,4.54,459.0
Acer,Aspire A315-51,Notebook,Intel HD Graphics 520,Windows 10,15.6,1366,768,2.0,4,128,2.1,4.2,449.0
MSI,GT80S 6QF-074US,Gaming,Nvidia GTX 980 SLI,Windows 10,18.4,1920,1080,2.9,32,1512,4.4,59.3,2799.0
Lenovo,V310-15IKB (i5-7200U/8GB/1TB,Notebook,AMD R17M-M1-70,Windows 10,15.6,1920,1080,2.5,8,1128,1.9,27.0,813.0
HP,Spectre x360,2 in 1 Convertible,Intel UHD Graphics 620,Windows 10,13.3,3840,2160,1.6,8,256,1.29,4.8,1499.0
Dell,Inspiron 5570,Notebook,AMD Radeon 530,Linux,15.6,1920,1080,1.8,16,2256,2.02,6.64,1049.0
Dell,XPS 13,Ultrabook,Intel UHD Graphics 620,Windows 10,13.3,1920,1080,1.6,8,256,1.23,4.8,1399.0
Lenovo,Yoga 920-13IKB,2 in 1 Convertible,Intel UHD Graphics 620,Windows 10,13.9,3840,2160,1.8,16,512,1.4,4.8,1849.0
Toshiba,Satellite Pro,Notebook,Intel HD Graphics 620,Windows 10,15.6,1366,768,2.5,8,128,2.0,4.54,793.0
Xiaomi,Mi Notebook,Notebook,Nvidia GeForce MX150,No OS,15.6,1920,1080,1.6,8,256,1.95,13.7,1199.0
Dell,Inspiron 7773,Notebook,Nvidia GeForce 150MX,Windows 10,17.3,1920,1080,1.8,16,512,2.77,8.32,1549.0
Dell,XPS 15,Notebook,Nvidia GeForce GTX 1050,Windows 10,15.6,3840,2160,2.8,16,512,2.06,25.7,2397.0
Lenovo,Legion Y520-15IKBN,Gaming,Nvidia GeForce GTX 1050,No OS,15.6,1920,1080,2.5,8,256,2.4,25.7,779.0
Acer,Swift 7,Ultrabook,Intel HD Graphics 615,Windows 10,13.3,1920,1080,1.2,8,256,1.12,3.4,989.0
Dell,Inspiron 5770,Notebook,AMD Radeon 530,Windows 10,17.3,1920,1080,1.8,8,1128,2.8,6.64,1085.0
Lenovo,Thinkpad Yoga,2 in 1 Convertible,Intel HD Graphics 620,Windows 10,14.0,2560,1440,2.7,16,1000,1.42,4.54,2824.0
Vero,K147 (N3350/4GB/32GB/FHD/W10),Notebook,Intel HD Graphics 500,Windows 10,14.0,1920,1080,1.1,4,32,1.3,3.44,260.0
Xiaomi,Mi Notebook,Ultrabook,Nvidia GeForce MX150,No OS,13.3,1920,1080,2.5,8,256,1.3,13.7,999.9
Lenovo,IdeaPad 320-17IKBR,Notebook,Nvidia GeForce MX150,No OS,17.3,1600,900,1.6,8,256,2.8,13.7,698.0
Dell,Inspiron 5379,2 in 1 Convertible,Intel UHD Graphics 620,Windows 10,13.3,1920,1080,1.8,8,1000,1.62,4.8,839.0
HP,ProBook 470,Notebook,Nvidia GeForce 930MX,Windows 10,17.3,1920,1080,1.6,8,1000,2.5,7.91,914.0
Razer,Blade Pro,Gaming,Nvidia GeForce GTX 1080,Windows 10,17.3,3840,2160,2.9,32,1000,3.49,102.0,6099.0
HP,ProBook 430,Notebook,Intel UHD Graphics 620,Windows 10,13.3,1920,1080,1.6,8,512,1.49,4.8,959.0
HP,Omen 17-W295,Gaming,Nvidia GeForce GTX 1050,Windows 10,17.3,1920,1080,2.8,16,1256,3.35,25.7,1379.0
HP,Probook 470,Notebook,Nvidia GeForce 930MX,Windows 10,17.3,1920,1080,1.8,8,256,2.5,7.91,1045.0
Dell,Inspiron 7577,Gaming,Nvidia GeForce GTX 1060,Windows 10,15.6,3840,2160,2.8,16,1512,2.65,46.7,1845.0
Lenovo,V110-15ISK (i5-6200U/4GB/128GB/W10),Notebook,Intel HD Graphics 520,Windows 10,15.6,1366,768,2.3,4,128,2.1,4.2,493.0
Acer,Aspire E5-576G,Notebook,Nvidia GeForce 940MX,Windows 10,15.6,1920,1080,2.7,8,1000,2.23,8.62,742.0
Lenovo,Legion Y720-15IKB,Gaming,Nvidia GeForce GTX 1060,Windows 10,15.6,1920,1080,2.8,16,1512,3.2,46.7,1749.0
Dell,Precision 7520,Workstation,Nvidia Quadro M1200,Windows 10,15.6,3840,2160,3.0,16,1256,2.8,8.37,3055.0
Lenovo,Legion Y520-15IKBN,Gaming,Nvidia GeForce GTX 1060,No OS,15.6,1920,1080,2.8,16,512,2.4,46.7,1398.0
Dell,Inspiron 3567,Notebook,Intel HD Graphics 620,Windows 10,15.6,1366,768,2.4,6,1000,2.3,4.54,439.0
Dell,XPS 13,Ultrabook,Intel UHD Graphics 620,Windows 10,13.3,3840,2160,1.8,8,256,1.21,4.8,1949.0
Dell,XPS 13,Ultrabook,Intel UHD Graphics 620,Windows 10,13.3,1920,1080,1.8,8,256,1.2,4.8,1449.0
Lenovo,IdeaPad 320-15IKBN,Notebook,Intel HD Graphics 620,Windows 10,15.6,1366,768,2.5,8,256,2.2,4.54,597.0
Acer,Aspire 7,Notebook,Nvidia GeForce GTX 1050,Linux,15.6,1920,1080,2.8,8,1000,2.4,25.7,779.0
Asus,ROG GL703VD-GC028T,Gaming,Nvidia GeForce GTX 1050,Windows 10,17.3,1920,1080,2.8,16,1256,2.9,25.7,1407.0
