typename,inches,width,height,clock_speed,ram,disk_size,weight,ubm_effective_speed,price_euros
Notebook,15.6,1366,768,2.0,4,500,1.86,4.96,438.69
Notebook,14.0,1366,768,1.6,4,32,1.44,3.18,229.0
Notebook,15.6,1920,1080,2.5,4,1000,1.9,4.54,549.0
Gaming,17.3,1920,1080,2.8,12,1000,3.0,29.3,949.0
Ultrabook,13.5,2256,1504,2.5,4,128,1.252,4.54,1089.0
Ultrabook,13.3,1920,1080,1.8,8,256,1.4,6.64,955.0
Notebook,15.6,1920,1080,1.8,8,256,2.2,6.64,870.0
Gaming,17.3,1920,1080,2.5,8,1128,2.7,25.7,1095.0
Notebook,14.0,1366,768,2.0,8,1000,2.1,4.2,389.0
Gaming,15.6,1920,1080,2.8,8,1000,2.2,25.7,949.0
Notebook,15.6,1920,1080,2.5,8,2000,2.2,4.54,519.0
Notebook,15.6,1920,1080,1.8,8,1128,2.02,4.8,855.0
Notebook,15.6,1920,1080,2.7,4,1000,2.2,8.96,530.0
Notebook,17.3,1920,1080,1.6,8,1128,2.5,7.91,977.0
Ultrabook,15.6,1920,1080,1.6,8,256,1.88,4.8,1096.16
Ultrabook,12.0,2304,1440,1.3,8,512,0.92,3.4,1510.0
Notebook,14.0,1920,1080,1.6,8,256,1.63,4.54,860.0
Notebook,15.6,1366,768,3.0,4,1000,2.1,2.05,395.0
Gaming,15.6,1920,1080,2.8,16,1128,2.65,29.3,1349.0
Ultrabook,15.6,1920,1080,1.8,8,256,1.83,9.0,699.0
Notebook,15.6,1920,1080,2.5,8,256,1.96,4.54,598.99
Gaming,15.6,1920,1080,2.8,16,1128,2.2,46.7,1449.0
Ultrabook,13.3,1920,1080,1.8,8,256,1.21,4.8,1649.0
Gaming,15.6,1920,1080,3.0,8,1000,2.45,22.0,699.0
Notebook,15.6,1920,1080,1.8,8,1000,2.2,13.7,689.0
Notebook,13.3,1920,1080,1.8,16,512,1.49,4.8,1197.0
Gaming,15.6,1920,1080,2.5,8,256,2.65,46.7,1195.0
Ultrabook,14.0,1920,1080,2.7,8,256,1.25,4.54,1049.0
2 in 1 Convertible,13.3,1920,1080,1.6,8,256,1.5,4.8,847.0
Notebook,15.6,1920,1080,2.4,6,256,2.0,5.76,577.0
Gaming,15.6,1920,1080,2.8,12,1128,2.62,25.7,1249.0
Notebook,15.6,1920,1080,2.7,8,256,1.91,6.64,719.0
Notebook,15.6,1920,1080,1.6,8,1000,2.2,4.96,647.0
Ultrabook,13.3,1920,1080,2.7,8,256,1.38,13.7,1119.0
Ultrabook,13.5,2256,1504,2.5,8,256,1.252,4.54,1340.0
Notebook,14.0,1920,1080,2.5,6,256,1.58,8.62,659.0
Notebook,15.6,1920,1080,2.0,4,1000,1.85,4.2,414.9
Ultrabook,14.0,1920,1080,2.7,8,256,1.3,8.62,1193.0
Gaming,15.6,1920,1080,2.8,16,1256,2.2,29.3,1299.0
Notebook,14.0,1920,1080,2.7,8,256,1.58,4.54,1480.0
Ultrabook,15.6,1920,1080,1.8,16,1256,1.5,13.7,1262.0
Ultrabook,13.3,3200,1800,2.4,8,256,1.23,7.49,1379.0
2 in 1 Convertible,13.3,1920,1080,2.5,8,256,1.37,4.54,1399.0
Notebook,14.0,1366,768,1.6,4,500,1.63,4.8,722.0
Ultrabook,13.3,1920,1080,1.6,8,256,1.21,4.8,1629.0
2 in 1 Convertible,13.3,1920,1080,1.6,8,256,1.26,4.8,1398.99
Notebook,14.0,1920,1080,1.8,8,512,1.63,4.8,1084.0
Notebook,15.6,1920,1080,1.8,8,1256,2.16,8.62,1130.33
Notebook,17.3,1920,1080,2.0,4,1000,2.0,5.76,564.0
Notebook,15.6,1920,1080,1.8,8,256,1.7,8.62,1118.0
Notebook,15.6,1920,1080,2.4,6,1000,2.1,4.54,479.0
Gaming,15.6,1920,1080,2.8,16,2256,1.8,79.7,2241.5
Notebook,15.6,1920,1080,2.5,8,256,2.2,8.62,629.0
Notebook,17.3,1920,1080,1.8,16,512,2.5,7.91,1271.0
Notebook,15.6,1366,768,3.0,4,256,2.1,2.05,451.0
Notebook,15.6,1366,768,1.6,4,500,1.86,3.18,259.0
Notebook,14.0,1920,1080,1.6,8,1000,1.63,4.8,812.0
Notebook,17.3,1920,1080,1.8,16,2256,2.8,6.64,1396.0
Notebook,17.3,1920,1080,1.6,8,256,2.5,4.8,928.0
Notebook,15.6,1366,768,2.5,8,1000,2.36,21.2,638.99
Ultrabook,14.0,1920,1080,1.8,8,256,1.6,4.8,884.0
Notebook,15.6,1920,1080,2.7,4,256,2.2,8.96,572.0
Notebook,15.6,1366,768,2.7,8,1000,2.05,4.54,598.0
Notebook,14.0,1920,1080,1.8,8,256,1.63,4.8,988.0
Notebook,15.6,1366,768,1.1,4,1000,1.9,3.44,252.36
Gaming,17.3,1920,1080,2.5,8,1128,3.0,25.7,938.0
Notebook,15.6,1920,1080,2.5,4,1000,2.2,5.76,499.0
Notebook,13.3,1920,1080,2.5,4,256,1.32,4.54,699.0
Notebook,17.3,1920,1080,2.7,4,1000,3.0,8.96,655.0
Notebook,14.0,1920,1080,1.6,8,256,1.75,14.1,1116.02
Gaming,15.6,1920,1080,2.8,8,256,2.4,23.0,869.0
Notebook,15.6,1366,768,2.3,4,500,2.1,4.2,602.0
Notebook,15.6,1366,768,2.5,4,256,1.86,2.31,369.0
Ultrabook,14.0,1920,1080,1.8,8,256,1.25,4.8,1099.0
Ultrabook,12.5,3840,2160,1.2,8,512,0.97,2.92,2014.0
Notebook,15.6,1920,1080,1.1,4,1000,2.0,3.44,344.0
Gaming,17.3,1920,1080,2.8,16,1256,2.9,79.7,2029.0
Notebook,15.6,1366,768,2.0,4,1000,2.1,4.2,447.0
Gaming,15.6,1920,1080,2.8,16,512,2.56,25.7,1249.26
Gaming,15.6,1920,1080,2.8,8,0,2.62,25.7,899.0
Notebook,15.6,1366,768,2.5,4,128,1.9,4.54,498.0
Gaming,17.3,1920,1080,2.8,16,1256,2.8,46.7,1890.0
Ultrabook,14.0,1920,1080,2.7,4,256,1.48,4.54,1082.0
Notebook,15.6,1920,1080,1.6,6,256,1.91,4.96,619.0
2 in 1 Convertible,14.0,1920,1080,2.4,4,256,1.74,4.54,629.0
2 in 1 Convertible,13.3,1920,1080,1.6,8,256,1.1,4.54,1315.0
2 in 1 Convertible,15.6,1920,1080,1.8,8,256,1.56,4.8,1049.0
Notebook,15.6,1366,768,2.2,4,500,2.1,4.2,447.0
Notebook,17.3,1920,1080,1.6,4,256,3.0,13.7,805.0
Notebook,15.6,1920,1080,1.6,8,256,2.13,4.96,728.0
Gaming,15.6,1920,1080,2.8,16,256,2.5,29.3,1079.0
Notebook,15.6,1366,768,1.1,4,1000,2.1,3.44,348.0
Gaming,15.6,1920,1080,2.8,16,1256,2.4,46.7,1799.0
Gaming,15.6,1920,1080,2.8,8,1128,2.56,25.7,1060.49
Notebook,17.3,1920,1080,1.6,8,256,3.0,13.7,854.0
Notebook,13.3,1920,1080,1.6,4,500,1.49,4.8,754.0
Ultrabook,13.0,2160,1440,2.5,8,256,1.05,4.54,1349.0
Notebook,17.3,1920,1080,2.5,6,2000,2.71,4.96,699.0
Notebook,15.6,1366,768,2.9,4,500,2.2,2.31,309.0
Notebook,15.6,1366,768,2.4,4,500,2.0,4.54,489.0
Notebook,17.3,1920,1080,1.6,8,256,2.5,7.91,923.0
Notebook,15.6,1366,768,2.4,8,1000,2.3,4.54,459.0
Notebook,15.6,1366,768,2.0,4,128,2.1,4.2,449.0
Gaming,18.4,1920,1080,2.9,32,1512,4.4,59.3,2799.0
Notebook,15.6,1920,1080,2.5,8,1128,1.9,27.0,813.0
2 in 1 Convertible,13.3,3840,2160,1.6,8,256,1.29,4.8,1499.0
Notebook,15.6,1920,1080,1.8,16,2256,2.02,6.64,1049.0
Ultrabook,13.3,1920,1080,1.6,8,256,1.23,4.8,1399.0
2 in 1 Convertible,13.9,3840,2160,1.8,16,512,1.4,4.8,1849.0
Notebook,15.6,1366,768,2.5,8,128,2.0,4.54,793.0
Notebook,15.6,1920,1080,1.6,8,256,1.95,13.7,1199.0
Notebook,17.3,1920,1080,1.8,16,512,2.77,8.32,1549.0
Notebook,15.6,3840,2160,2.8,16,512,2.06,25.7,2397.0
Gaming,15.6,1920,1080,2.5,8,256,2.4,25.7,779.0
Ultrabook,13.3,1920,1080,1.2,8,256,1.12,3.4,989.0
Notebook,17.3,1920,1080,1.8,8,1128,2.8,6.64,1085.0
2 in 1 Convertible,14.0,2560,1440,2.7,16,1000,1.42,4.54,2824.0
Notebook,14.0,1920,1080,1.1,4,32,1.3,3.44,260.0
Ultrabook,13.3,1920,1080,2.5,8,256,1.3,13.7,999.9
Notebook,17.3,1600,900,1.6,8,256,2.8,13.7,698.0
2 in 1 Convertible,13.3,1920,1080,1.8,8,1000,1.62,4.8,839.0
Notebook,17.3,1920,1080,1.6,8,1000,2.5,7.91,914.0
Gaming,17.3,3840,2160,2.9,32,1000,3.49,102.0,6099.0
Notebook,13.3,1920,1080,1.6,8,512,1.49,4.8,959.0
Gaming,17.3,1920,1080,2.8,16,1256,3.35,25.7,1379.0
Notebook,17.3,1920,1080,1.8,8,256,2.5,7.91,1045.0
Gaming,15.6,3840,2160,2.8,16,1512,2.65,46.7,1845.0
Notebook,15.6,1366,768,2.3,4,128,2.1,4.2,493.0
Notebook,15.6,1920,1080,2.7,8,1000,2.23,8.62,742.0
Gaming,15.6,1920,1080,2.8,16,1512,3.2,46.7,1749.0
Workstation,15.6,3840,2160,3.0,16,1256,2.8,8.37,3055.0
Gaming,15.6,1920,1080,2.8,16,512,2.4,46.7,1398.0
Notebook,15.6,1366,768,2.4,6,1000,2.3,4.54,439.0
Ultrabook,13.3,3840,2160,1.8,8,256,1.21,4.8,1949.0
Ultrabook,13.3,1920,1080,1.8,8,256,1.2,4.8,1449.0
Notebook,15.6,1366,768,2.5,8,256,2.2,4.54,597.0
Notebook,15.6,1920,1080,2.8,8,1000,2.4,25.7,779.0
Gaming,17.3,1920,1080,2.8,16,1256,2.9,25.7,1407.0
Notebook,15.6,1920,1080,2.0,4,500,2.1,4.2,349.0
Notebook,15.6,1920,1080,2.5,8,256,2.2,4.54,549.0
Ultrabook,13.0,2160,1440,2.7,8,512,1.05,4.54,1499.0
Ultrabook,13.3,1920,1080,1.8,8,256,1.4,6.64,931.88
Notebook,17.3,1600,900,2.5,8,1000,2.8,9.0,589.0
Notebook,14.0,1920,1080,1.8,8,256,1.63,7.91,1031.0
Ultrabook,14.0,1920,1080,1.6,8,256,1.6,4.8,1149.0
2 in 1 Convertible,13.3,1920,1080,1.8,16,512,1.62,4.8,1279.0
Notebook,15.6,1920,1080,1.6,8,256,2.2,4.96,677.35
2 in 1 Convertible,14.0,1920,1080,1.6,8,256,1.74,4.8,899.0
Ultrabook,13.3,1920,1080,2.5,8,256,1.2,4.2,1363.0
Notebook,15.6,1920,1080,1.6,8,1000,2.1,4.8,794.0
Gaming,17.3,1920,1080,2.8,16,1256,4.42,46.7,2456.34
Notebook,15.6,1920,1080,2.7,8,256,2.2,8.62,832.0
Notebook,15.6,1920,1080,2.7,16,1000,2.3,21.2,859.01
Notebook,17.3,1920,1080,2.5,8,256,2.69,14.0,891.0
Notebook,15.6,1366,768,2.4,4,1000,2.37,4.54,398.99
Gaming,15.6,1920,1080,2.8,16,1256,3.2,46.7,1499.0
Notebook,14.0,1920,1080,2.5,8,256,1.6,4.54,859.0
2 in 1 Convertible,13.3,1920,1080,2.3,8,256,1.6,4.2,689.0
Notebook,15.6,1920,1080,2.7,16,256,2.36,21.2,899.0
Notebook,15.6,1366,768,2.0,4,1000,2.1,4.2,390.0
Gaming,17.3,1920,1080,2.9,32,1512,4.7,102.0,3890.0
Gaming,15.6,1920,1080,2.5,8,256,2.5,25.7,846.0
Notebook,15.6,1366,768,2.0,8,128,2.2,4.2,589.0
Notebook,17.3,1920,1080,1.8,8,1128,2.1,8.32,1145.0
Notebook,17.3,1920,1080,2.7,8,1128,2.69,14.0,889.0
Gaming,15.6,1920,1080,2.5,8,256,2.56,25.7,879.0
2 in 1 Convertible,13.9,1920,1080,2.7,8,256,1.38,4.54,1079.0
Notebook,15.6,1920,1080,1.8,8,2128,2.2,6.64,985.0
Notebook,15.6,1366,768,2.5,8,1000,2.04,4.54,559.0
Gaming,17.3,1920,1080,2.9,16,256,3.6,102.0,2999.0
Notebook,13.3,1920,1080,1.6,4,500,1.49,4.8,675.0
Ultrabook,13.3,2560,1600,3.1,8,512,1.37,8.55,2040.0
2 in 1 Convertible,15.6,1920,1080,1.8,8,1000,2.08,4.8,819.0
Gaming,17.3,1920,1080,2.8,16,1256,4.3,40.6,1799.0
2 in 1 Convertible,13.9,1920,1080,1.8,8,512,1.37,4.8,1849.0
Notebook,17.3,1920,1080,2.7,4,256,3.0,8.96,702.0
Ultrabook,13.3,1920,1080,1.6,8,256,1.41,4.8,949.0
Notebook,15.6,1366,768,2.5,8,128,1.91,2.31,445.9
Notebook,17.3,1920,1080,1.8,16,1000,2.9,13.7,1059.0
Gaming,17.3,1920,1080,2.8,16,1512,4.14,79.7,2499.0
2 in 1 Convertible,15.6,1920,1080,2.8,8,512,2.0,23.0,1699.0
Notebook,17.3,1920,1080,1.8,8,1128,2.8,6.64,1142.0
Notebook,15.6,1920,1080,2.0,4,256,2.2,4.2,444.0
Notebook,15.6,1920,1080,1.6,4,500,2.1,4.54,722.0
Notebook,15.6,1920,1080,2.5,4,1000,2.18,4.54,657.0
2 in 1 Convertible,15.6,1920,1080,1.6,8,256,2.67,4.8,799.0
2 in 1 Convertible,13.3,1920,1080,1.8,8,512,1.1,4.8,1499.0
Notebook,15.6,1920,1080,2.5,4,1000,2.2,4.54,467.0
Notebook,17.3,1920,1080,1.8,8,1000,2.5,7.91,1018.0
Notebook,15.6,1920,1080,1.8,8,256,2.05,4.8,880.0
Ultrabook,13.3,2560,1600,2.9,8,512,1.37,9.18,1958.9
Gaming,17.3,1920,1080,3.0,16,1256,3.2,51.6,1549.0
Notebook,15.6,1920,1080,1.8,8,256,2.14,4.96,735.07
2 in 1 Convertible,14.0,2560,1440,2.6,16,512,1.36,4.2,2499.0
Notebook,15.6,1366,768,2.5,8,500,2.2,7.91,812.0
Notebook,15.6,1366,768,2.7,12,1000,2.3,4.54,713.07
Notebook,17.3,1920,1080,1.8,8,1128,2.8,6.64,1099.0
Notebook,15.6,1920,1080,1.8,8,1000,2.2,8.96,745.0
Notebook,17.3,1600,900,2.0,4,1000,2.8,4.2,489.0
Notebook,17.3,1920,1080,1.8,8,2000,2.8,13.7,849.0
Notebook,17.3,1600,900,2.7,6,1128,2.8,8.62,859.0
Gaming,15.6,1920,1080,2.5,8,256,2.5,25.7,829.0
Notebook,15.6,1920,1080,2.5,6,256,2.2,4.54,579.0
Notebook,15.6,1920,1080,1.8,8,256,3.0,13.7,951.0
Notebook,15.6,1920,1080,2.7,12,1000,2.15,4.54,659.0
Notebook,15.6,1920,1080,2.7,8,256,1.95,5.08,1097.0
Ultrabook,15.6,1920,1080,2.5,8,256,1.7,8.62,977.0
Gaming,15.6,1920,1080,2.8,16,1256,2.5,29.3,1179.0
Notebook,15.6,1920,1080,2.7,8,1000,2.2,8.62,659.01
Notebook,15.6,1366,768,1.5,2,16,2.19,1.56,199.0
Gaming,17.3,1920,1080,2.8,8,1000,3.0,25.7,1187.0
Notebook,17.3,1600,900,2.0,8,1000,2.54,4.2,489.0
Notebook,15.6,1920,1080,2.8,8,256,2.0,25.7,1829.0
Notebook,15.6,1920,1080,1.6,8,256,2.05,4.8,739.0
Gaming,15.6,1920,1080,2.8,8,1000,3.2,46.7,1299.0
Notebook,15.6,1920,1080,2.8,8,256,2.5,29.3,979.0
Workstation,17.3,1920,1080,2.9,16,256,3.42,8.37,2884.86
Notebook,15.6,1920,1080,2.4,6,1000,2.4,26.1,499.0
Ultrabook,15.6,1920,1080,2.7,16,512,1.63,8.62,1468.0
Notebook,14.0,1366,768,2.4,4,128,1.3,4.54,509.0
Gaming,17.3,1920,1080,2.8,16,1256,2.9,79.7,2122.0
Notebook,17.3,1600,900,2.5,6,1000,2.8,9.0,649.0
Notebook,15.6,1366,768,2.5,8,2000,2.2,8.62,549.0
Gaming,15.6,1920,1080,2.8,8,1128,2.5,29.3,1265.0
2 in 1 Convertible,13.3,1920,1080,2.8,16,256,1.28,4.54,1975.0
Notebook,15.6,1920,1080,2.5,8,256,2.2,7.91,1043.0
Notebook,15.6,1920,1080,2.5,8,1128,2.3,8.62,819.0
Notebook,15.6,1920,1080,2.0,4,1000,1.86,4.2,469.0
Notebook,13.3,1920,1080,2.5,8,256,1.1,4.54,999.0
Ultrabook,13.3,3840,2160,1.8,16,1000,1.21,4.8,2499.0
Gaming,15.6,1920,1080,2.8,16,1256,2.8,79.7,2099.0
Notebook,15.6,1920,1080,2.2,8,256,2.23,2.05,469.0
2 in 1 Convertible,11.6,1366,768,1.1,2,32,1.1,3.44,275.0
Notebook,15.6,1920,1080,1.6,8,1128,2.33,6.64,844.0
2 in 1 Convertible,13.3,3840,2160,1.8,16,1000,1.29,4.8,2449.0
Notebook,13.3,1366,768,1.6,4,16,1.45,2.54,459.9
Notebook,14.0,1920,1080,2.5,8,256,1.95,4.54,980.0
Notebook,11.6,1366,768,1.6,4,128,1.4,2.1,485.0
Notebook,14.0,1920,1080,2.7,8,256,1.48,4.54,1292.0
Notebook,17.3,1600,900,2.5,4,1000,2.79,5.76,589.0
Notebook,14.0,1920,1080,2.7,8,256,2.0,4.54,1094.0
Notebook,15.6,1366,768,1.8,8,1000,2.1,4.8,902.0
Notebook,15.6,1366,768,2.7,8,256,2.2,29.2,659.0
Notebook,14.0,1366,768,1.1,4,32,1.44,3.44,292.0
Notebook,15.6,1366,768,2.5,6,1000,2.23,4.54,549.0
Ultrabook,15.6,1920,1080,2.7,8,256,1.7,8.62,1049.9
Ultrabook,12.5,1920,1080,2.7,8,256,1.26,4.54,1335.0
Notebook,15.6,3840,2160,2.8,32,1000,2.06,25.7,2639.0
Gaming,17.3,1920,1080,2.8,8,1256,2.7,29.3,1199.0
Notebook,15.6,1920,1080,2.5,8,256,2.0,4.54,943.0
Notebook,14.0,1920,1080,2.7,8,1256,2.0,4.54,1334.0
Notebook,15.6,1920,1080,2.0,4,1000,1.85,4.2,449.0
Gaming,15.6,1920,1080,2.8,8,256,2.5,25.7,999.0
Notebook,14.0,1920,1080,2.6,8,256,1.48,4.54,1268.0
Ultrabook,15.6,1920,1080,1.6,8,1128,1.9,8.62,1049.0
Notebook,15.6,1920,1080,2.5,8,256,1.84,4.54,1144.0
Notebook,15.6,1366,768,1.1,4,1000,2.0,3.44,274.99
Notebook,15.6,1920,1080,1.6,8,256,2.0,8.62,1142.75
Notebook,15.6,1366,768,1.6,4,500,2.2,1.56,274.9
Notebook,15.6,1920,1080,3.6,12,2000,2.2,6.64,899.0
Notebook,15.6,1920,1080,2.4,8,1000,2.1,7.91,716.0
2 in 1 Convertible,13.9,3840,2160,1.8,16,512,1.4,4.8,2099.0
Ultrabook,13.3,1920,1080,1.8,8,256,1.2,4.8,1579.0
Gaming,15.6,1920,1080,2.8,16,2256,2.4,29.3,1129.0
Notebook,14.0,1366,768,1.6,2,32,1.44,3.18,279.0
Ultrabook,15.6,1920,1080,1.9,16,512,1.88,4.8,1607.96
2 in 1 Convertible,11.6,1366,768,1.1,4,32,1.5,3.44,375.0
Ultrabook,15.6,1920,1080,1.6,8,1000,1.9,6.64,663.0
Notebook,15.6,3840,2160,2.8,16,512,2.06,25.7,2027.42
Notebook,15.6,1920,1080,2.7,8,256,1.84,4.54,1304.0
Gaming,17.3,1920,1080,2.8,8,1128,2.7,46.7,1409.0
Workstation,15.6,1920,1080,2.8,8,256,2.6,8.37,1738.27
Notebook,15.6,1920,1080,2.5,16,512,2.4,7.91,1403.0
Notebook,15.6,1920,1080,1.8,8,2128,2.02,6.64,970.9
Notebook,15.6,1366,768,1.1,4,1000,2.2,3.44,321.99
Gaming,15.6,1920,1080,2.5,8,1000,2.65,25.7,999.0
Notebook,15.6,1366,768,2.5,8,2000,2.36,4.54,557.37
Notebook,14.0,1920,1080,2.6,8,256,1.36,4.54,1427.0
Notebook,15.6,1366,768,2.0,4,500,1.86,4.2,439.0
Notebook,14.0,1920,1080,2.5,8,256,2.0,4.54,945.0
Notebook,17.3,1600,900,2.5,6,1128,2.8,9.0,719.0
Notebook,15.6,1920,1080,2.5,8,1000,1.86,4.54,639.0
Notebook,15.6,1366,768,1.6,8,2000,2.04,2.1,389.0
Notebook,17.3,1920,1080,1.6,8,1128,2.8,6.64,1085.0
Gaming,15.6,1920,1080,2.5,8,1128,2.4,25.7,809.0
Notebook,15.6,1920,1080,2.7,8,256,2.33,21.2,899.0
Ultrabook,14.0,1920,1080,2.7,8,256,1.36,4.54,1750.0
2 in 1 Convertible,15.6,1920,1080,2.7,12,2512,2.26,57.7,1099.0
Notebook,15.6,1366,768,3.0,4,128,2.1,2.05,426.0
Gaming,17.3,1920,1080,3.0,16,1256,3.25,51.6,2199.0
Notebook,17.3,1600,900,2.2,4,128,2.6,2.05,489.0
2 in 1 Convertible,13.3,1920,1080,1.8,8,256,1.62,4.8,869.01
Notebook,15.6,1920,1080,3.0,4,256,1.91,2.05,488.99
Netbook,11.6,1366,768,1.1,4,128,1.59,3.44,553.0
Notebook,15.6,1366,768,1.6,4,500,1.8,3.18,309.0
Notebook,14.0,1366,768,1.1,4,32,1.5,3.44,286.0
Notebook,15.6,1920,1080,2.8,8,1000,2.4,25.7,846.0
Gaming,17.3,1920,1080,2.8,8,1128,3.35,25.7,1191.0
Notebook,15.6,1920,1080,2.0,4,128,1.85,4.2,403.5
Gaming,15.6,1920,1080,2.8,8,1128,2.3,46.7,1655.0
Notebook,14.0,1920,1080,2.5,8,256,1.5,8.62,1099.0
Ultrabook,13.3,1920,1080,2.7,16,512,1.1,4.54,1748.9
Ultrabook,14.0,2560,1440,2.7,8,512,1.13,4.54,2282.0
Notebook,13.3,1920,1080,2.4,4,128,1.5,4.54,549.0
Workstation,15.6,1920,1080,2.6,8,500,2.23,3.65,1369.0
Workstation,15.6,1920,1080,2.7,8,256,2.0,8.37,2135.0
2 in 1 Convertible,14.0,2560,1440,2.7,16,512,1.42,4.54,2509.0
Gaming,17.3,1920,1080,2.8,8,1000,3.0,25.7,1039.0
Gaming,17.3,1920,1080,2.8,16,1256,3.0,29.3,1591.0
Notebook,15.6,1366,768,1.6,12,1000,2.2,8.96,693.99
Gaming,17.3,1920,1080,2.8,8,256,2.7,29.3,1349.0
Notebook,15.6,1920,1080,2.7,8,256,2.33,21.2,778.87
Ultrabook,15.6,1920,1080,3.0,4,256,1.91,4.96,499.0
Notebook,15.6,1920,1080,1.8,8,256,2.1,14.1,1229.56
Notebook,14.0,1920,1080,2.5,8,256,1.9,4.54,938.0
Workstation,15.6,3840,2160,2.8,8,256,1.78,8.37,2712.0
Ultrabook,14.0,2560,1440,2.7,16,1000,1.13,4.54,2625.0
Notebook,15.6,1366,768,1.1,4,1000,2.2,3.44,306.0
Gaming,17.3,1920,1080,2.8,16,1256,2.9,25.7,1529.0
Notebook,15.6,1920,1080,1.6,8,1256,2.1,14.1,1144.5
Notebook,15.6,1920,1080,2.8,8,256,2.5,25.7,879.0
Gaming,17.3,1920,1080,2.8,16,1256,2.8,79.7,2249.0
Ultrabook,14.0,1920,1080,2.7,8,512,1.1,4.54,1873.0
Ultrabook,13.3,1920,1080,2.5,16,512,1.2,4.2,1747.0
Ultrabook,14.0,1920,1080,2.8,8,512,1.36,1.56,1680.0
